image_path,caption_1,caption_2,caption_3,caption_4,caption_5,category
/content/drive/MyDrive/Images/Baddie/b6a5456a31aee9572ea48af6b022d49c.jpg,So when did the fools decide to make you their ruler?”,Prove them wrong. Twice.,Ready to catch some feelings?,n tell yo ex girlfriend $he can't $ee meh n nothin.,i'd stop scrolling too,Baddie
/content/drive/MyDrive/Images/Baddie/d2d01b43026e4ebe58b3971bced2f6fd.jpg,"I'm not bossy, I'm the boss. - Beyoncé","I may be kind, but I ain't weak.","I've been good, you?","The greatest fools are ofttimes more clever than the men who laugh at them.” — George R.R. Martin, A Storm of Swords",pull up.,Baddie
/content/drive/MyDrive/Images/Baddie/b29f30b29783b3919719d8cead487beb.jpg,It could all be so simple,cause it's BARBIE,"You all laugh at me because I’m different, but I laugh at you because you’re all the same.”","*4 ma girlz. who, me?",I woke up like this.”,Baddie
/content/drive/MyDrive/Images/Baddie/fa0084cfb28df93880d2b20345665a0f.jpg,Drop what you’re doing and look at this.”,da wave,"Lead, follow, or get out of my way.",The prize,Queens don’t compete with hoes.,Baddie
/content/drive/MyDrive/Images/Baddie/2bca8cf7c4b1926038b6da157650f8c0.jpg,"Confidence is my superpower. 12. Breaking hearts, not a sweat. 13. You can't handle my swag. 14. Creating a life I love.","Crown on my head, fire in my eyes.",af!!,"The greatest fools are ofttimes more clever than the men who laugh at them.” — George R.R. Martin, A Storm of Swords",Pretty vibes,Baddie
/content/drive/MyDrive/Images/Baddie/bc1bf5b59d8d9895cdd669bf018feeea.jpg,Confidence looks good on me.”,Oh go make a podcast or something.”,100,She turned her can'ts into cans and her dreams into plans.,n tell yo ex girlfriend $he can't $ee meh n nothin.,Baddie
/content/drive/MyDrive/Images/Baddie/8ae6b2013cedbbd49a7a41ad29d1d4b7.jpg,Badass with a good ass.,Throwing shade isn’t going to help you shine.,My audio is my caption,Unstoppable and unbreakable.,Slay them with kindness and a killer outfit.”,Baddie
/content/drive/MyDrive/Images/Baddie/afcea81059e81a24938622bd7f776f45.jpg,"Taking over the world, one step at a time.",Unstoppable and unbreakable.,"weakness, bitch","Underestimate me, that’ll be fun.”",The grass is green on my side It's in me not on me,Baddie
/content/drive/MyDrive/Images/Baddie/07fd83ba24d0e9bd8e95f27f009222d9.jpg,I’m not here to be average; I’m here to be awesome.”,"I’m not perfect, but my captions are.”",Silence is golden. Duct tape is silver.”,The grass is green on my side It's in me not on me,two is better than one,Baddie
/content/drive/MyDrive/Images/Baddie/9f282fc094b9cdede2e8557aadf61a76.jpg,"Lead, follow, or get out of my way.",I am an example of what is possible when girls from the very beginning of their lives are loved and nurtured by people around them. I was surrounded by extraordinary women in my life who taught me about quiet strength and dignity. - Michelle Obama,this might just be utopia,i hit the bff jackpot for sure,Elegance is the only beauty that never fades.,Baddie
/content/drive/MyDrive/Images/Baddie/d8645c335ccc8cf432a9393fc75b21af.jpg,"Minimal effort, maximum effect",Your the type of boy id make asandwich for.,"First place energy, never second option. They hate from a distance, but they study up close.",What's on the menu,"If you can’t handle me at my best, you don’t deserve me at my best. That’s not a typo, I have no worst.”",Baddie
/content/drive/MyDrive/Images/Baddie/1dcb18168c00b7853b22a10dc36713e5.jpg,I’m a vibe that no one else can replace.”,"real eyes, realize, real lies@",Easing into my style,Sir Newton over here doesn’t seem to appreciate the gravity of the situation.”,Hashtag ‘you wish.’”,Baddie
/content/drive/MyDrive/Images/Baddie/9a25965b23a6795d7dd48fb482f5c85f.jpg,"I’m not perfect, but my captions are.”",Should I make you swoon with another selfie?,Boss lady in the making.,"They talk, they watch, they wish.",Throwing shade isn’t going to help you shine.,Baddie
/content/drive/MyDrive/Images/Baddie/49bc244d46867a7cfd4fca312c40f909.jpg,Not all girls are made of sugar and spice; some are made of sarcasm and wine.”,I woke up like this.”,For keeps,Verified in real life!,"Savage but sweet, just like honey.",Baddie
/content/drive/MyDrive/Images/Baddie/ddb4bacf9595d4fb8c30a20d66c556e3.jpg,The only limit is your mind.”,All this beauty and a bad attitude too? God is good.,Confidence level: Kanye West.,da wave,Can you handle my dazzling smile?,Baddie
/content/drive/MyDrive/Images/Baddie/c54145afce4b76714a0b219b0311aa0a.jpg,Your biggest flex could never be me.,Mood: Too glam to give a damn.,Life is too short to be basic.”,I am who I think I am,If I’m being abrasive I humbly request that you learn to deal with it.”,Baddie
/content/drive/MyDrive/Images/Baddie/d6062d639ff64407fc7067b40ad6a50d.jpg,"You all laugh at me because I’m different, but I laugh at you because you’re all the same.”",Just call me the king of all social media.”,"Less perfection, more authenticity.","Slaying, not stressing.","Eat well, travel often, caption accordingly.",Baddie
/content/drive/MyDrive/Images/Baddie/e576660eea9824f893e062c6e633b888.jpg,Boss babe energy activated,can you keep up¿? ig @kimberlymanyan,Oh go make a podcast or something.”,"I'm the type you lose & never replace. Too good for you, too rare for this world. They don't like me but they study me.",That boy’s about as sharp as a bowling ball.” — Foghorn Leghorn,Baddie
/content/drive/MyDrive/Images/Baddie/35c86b0304789f0394e45bd54d3bd1df.jpg,"I feel your scorn, and I accept it.” — Jon Stewart","Not a girl, not yet a boss.”","Life size doll, no, you can't play with me",if ya girl bad put a stack in her rack $$,We both know you’re jealous.”,Baddie
/content/drive/MyDrive/Images/Baddie/09346b22b37db251407d2a970738b370.jpg,"feelin ma $elf, really though it was evident.",Stop what you doing. It's a baddie on the walk-in!,Pretty privilege in full effect.,"If you didn't want me to stunt, you should've been prettier.",Dressed to slay. &,Baddie
/content/drive/MyDrive/Images/Baddie/96f8d362f7f45ee4cd441e674930bead.jpg,Turn ya savage up and lose ya feelings.,make way for the now,i'm just saying you could do better.,"I'm not looking for a knight, I'm looking for a sword. - Rihanna",Slaying since [year of birth].”,Baddie
/content/drive/MyDrive/Images/Baddie/28cb50703ab1af772e4658ce7ff98757.jpg,I am my own experiment. I am my own work of art. - Madonna,Baddie and boujee.,Every setback is a setup for a comeback.,Silence is golden. Duct tape is silver.”,"Sweeter than honey, bolder than bourbon.",Baddie
/content/drive/MyDrive/Images/Baddie/8fff8a2474fdec4df3909dd4285a14a6.jpg,this might just be utopia,I never have to do too much,Living my life in my own lane.,I am who I think I am,Hashtag ‘you wish.’”,Baddie
/content/drive/MyDrive/Images/Baddie/e80755d459987a6dbc189cc8e5c3d226.jpg,i $tay loadeddd.,All I do is upgrade,but why my name in your insta search history,I’m too glam to give a damn.”,Flawsome: an awesome individual with some flaws.”,Baddie
/content/drive/MyDrive/Images/Baddie/6e84719925c905715c0c6050ec8c8104.jpg,I’m not weird; I’m a limited edition.”,"No pen, no paper but I still draw attention",hi$ new bitxch obsessed w meh.),make way for the now,I woke up like this.”,Baddie
/content/drive/MyDrive/Images/Cafe/cafe (2).jpg,Your favorite café is your second home—mine smells like cinnamon and beans.,"Cafés are where the noise of the world fades away, leaving only peace.",Maybe I’m not lost. Maybe I’m just in a café.,"Coffee is not just a drink, it’s a daily dose of comfort.",Every table in this café holds a story waiting to be discovered.,Cafe
/content/drive/MyDrive/Images/Cafe/cafe (69).jpg,It’s the little things in this café that make each visit feel special.,This café understands me more than most people do.,"Cafés are where you find a slice of calm, even in the busiest days.",Espresso and eye contact — my kinda energy.,"The coffee’s hot, the vibe is right, and I’m exactly where I should be.",Cafe
/content/drive/MyDrive/Images/Cafe/cafe (50).jpg,"This café feels like the perfect escape, where the only thing on my mind is the present.","There’s a calmness in every corner of this café, making everything feel at ease.",A cup of coffee here is like a mini-vacation from the hustle and bustle.,"A little caffeine, a little peace, and a whole lot of contentment.",This café always makes me feel like I’m in the right place at the right time.,Cafe
/content/drive/MyDrive/Images/Cafe/cafe (10).jpg,"Time feels like it slows down in here, letting me savor each and every moment.","The buzz of conversations, the aroma of coffee—it’s the soundtrack of the perfect café.",The energy of this place makes even the most chaotic days feel a little calmer.,A warm cup of coffee here is more than a drink—it’s a moment of peace.,The hustle of the world fades when you’re wrapped up in the vibe of a café.,Cafe
/content/drive/MyDrive/Images/Cafe/cafe (38).jpg,This café’s warm energy makes every visit feel like an old favorite memory.,"Sitting by the window, watching the world go by, with a perfect cup in hand.","Soft chairs, quiet conversations, and the smell of fresh pastries—it’s my perfect kind of day.",A little break in a cozy café is all I need to recharge for the day ahead.,"It's the cozy vibe, the warm lighting, and the comfort food that make cafés magical.",Cafe
/content/drive/MyDrive/Images/Cafe/cafe (15).jpg,Coffee is the most honest part of my morning routine.,Silence sounds better with coffee and old brick walls.,"Sometimes, the best part of a café visit is simply soaking in the quiet atmosphere and savoring the peace.",Cafés are the little pockets of calm we need in a fast-paced world.,"In a world full of chaos, find your peace in a café corner.",Cafe
/content/drive/MyDrive/Images/Cafe/cafe (4).jpg,This café has a vibe that encourages you to slow down and savor the moment.,A perfect café moment is one where everything else fades away.,Cafés are where my soul takes a break from the noise.,Wake up and smell the espresso—today’s going to be amazing.,Cafés have this uncanny ability to make even the simplest moments feel significant.,Cafe
/content/drive/MyDrive/Images/Cafe/cafe (19).jpg,The calm energy of this café makes even the busiest days feel more manageable.,This café always makes me feel like I’m in the right place at the right time.,"A little caffeine, a little peace, and a whole lot of contentment.",The best moments are brewed slowly and served with a smile.,"The beauty of a café isn’t just in what you drink, but in what you feel.",Cafe
/content/drive/MyDrive/Images/Cafe/cafe (12).jpg,"In this cozy café, I find everything I need to unwind and reset my thoughts.",The ambiance here makes everything feel like it’s exactly where it’s meant to be.,"Soft chairs, quiet conversations, and the smell of fresh pastries—it’s my perfect kind of day.","Coffee isn’t a drink, it’s a mood I pour daily.",A love letter to slow sips and soft jazz.,Cafe
/content/drive/MyDrive/Images/Cafe/cafe (99).jpg,"Not every hero wears an apron, but mine serves cold brew.",The best moments happen in quiet cafés with soft lighting and good company.,"Cafés are where I go to unwind, reconnect, and embrace the quiet moments.",Take life one brew at a time and savor the moment.,"In a world that moves fast, cafés remind me how good it feels to just slow down.",Cafe
/content/drive/MyDrive/Images/Cafe/cafe (25).jpg,Here’s to the small cafés that feel like big moments in time.,A café like this is a place where you can lose track of time and just enjoy the moment.,Moments like these are why I believe in soft living.,This latte tastes like magic and feels like a hug from the inside.,I collect café moments the way some collect postcards.,Cafe
/content/drive/MyDrive/Images/Cafe/cafe (57).jpg,It’s the perfect kind of place—where you can’t help but be present.,"Every time I walk into this café, it feels like a cozy hug for my soul.","A perfect café moment happens when everything aligns—cozy atmosphere, warm drink, and peace.","The mug may be full, but so is the heart.","A warm cup in hand, a cozy corner to sit, and everything feels like it’s in perfect harmony.",Cafe
/content/drive/MyDrive/Images/Cafe/cafe (33).jpg,I love the way this place makes the ordinary feel extraordinary.,I measure happiness in spoons of sugar and sips of espresso.,A café moment is a beautiful reminder that life doesn’t always need to be rushed.,here long enough to let the coffee cool and the soul warm.,"If I disappear, find me where the wifi’s slow and the coffee’s warm.",Cafe
/content/drive/MyDrive/Images/Cafe/cafe (61).jpg,There’s beauty in slow mornings and beautifully brewed coffee.,"Vintage spoons, chipped mugs, and stories steeping in steam.","Cafés are little pockets of calm, perfect for slowing down and savoring the present.",A good café knows your name and your favorite brew.,Slow mornings feel even more beautiful when wrapped in a café’s warmth.,Cafe
/content/drive/MyDrive/Images/Cafe/cafe (9).jpg,"Good coffee, fresh air, and a peaceful atmosphere—this is the life I dream of.","First coffee, then the world—I have priorities.","A quiet café, a steaming cup, and the perfect book—what more do you need?","This place has no clock, only comfort.",You don’t always need a plan when you’ve got the perfect café atmosphere.,Cafe
/content/drive/MyDrive/Images/Cafe/cafe (26).jpg,The most peaceful days are the ones spent with a cup of coffee in a cozy café.,"Cafés are where the noise of the world fades away, leaving only peace.","When the mood in the café matches the food on my plate, life is good.","There's a certain magic in cafés, where even the busiest minds can find peace.","In this café, every sip feels like a little pause for the soul.",Cafe
